Name,Value,Socket,Nb,Data,
Resistance,100k,0805,3,Resistance.pdf,
Resistance,4.7k,0805,5,Resistance.pdf,
Resistance,290,0805,1,Resistance.pdf,
Resistance,140,0805,1,Resistance.pdf,
Resistance,120,0805,1,Resistance.pdf,
Resistance,100,0805,1,Resistance.pdf,
Resistance,R_des_cables,0805,8,Resistance.pdf,
Capacitor,1µF,0805,3,Capacitor.pdf,
Capacitor,20pF,0805,2,Capacitor.pdf,
Capacitor,100nF,0805,6,Capacitor.pdf,
Capacitor,4.7µF,0805,1,Capacitor.pdf,
Capacitor,C_cable,0805,4,Capacitor.pdf,
LED,Vert,0805,2,https://www.farnell.com/datasheets/2045828.pdf,
LED,Rouge,0805,1,https://www.farnell.com/datasheets/2045967.pdf,
USB_B_Micro,NA,Wuerth_629105150521,1,,
SWD,2 x 7,1.27 mm ,1,, 
JST,1 x2,2.50 mm,4,ST_XH_B2B-XH-A,
Pin test,1 x 8,2.54 mm,1,,
Pin test,1 x 2,2.54 mm,2,,
Transistor,BCX56,SOT-233,1,https://www.mouser.fr/datasheet/3/70/1/bcp54_bcp55_bcp56.pdf,
STM,G431K6Tx,LQFP-32_7x7mm_P0.8mm,1,https://www.st.com/resource/en/datasheet/stm32g431k6.pdf,
Cristal,32.768kHz,1.5 x 3.2,1,830 054 236,
Regulateur,5 / 3.3 V,SSOP5 ,1,https://moodle.ensea.fr/pluginfile.php/10188/mod_folder/content/0/BU33SD5WG-TR.pdf?forcedownload=1,
Buton,NA,6.2 x 6.2 ,2,https://www.we-online.com/components/products/datasheet/430182070816.pdf,